0,1.5708,-3.1416,3.1416,0,0,0
5.1155e-05,1.5708,-3.1416,3.1416,-7.9057e-06,7.4219e-06,3.3857e-07
0.00015346,1.5708,-3.1416,3.1416,-2.3717e-05,2.2266e-05,1.0157e-06
0.00035808,1.5708,-3.1416,3.1416,-5.534e-05,5.1953e-05,2.37e-06
0.00076732,1.5708,-3.1416,3.1416,-0.00011859,0.00011133,5.0786e-06
0.0015858,1.5708,-3.1416,3.1416,-0.00024508,0.00023008,1.0496e-05
0.0032227,1.5708,-3.1416,3.1416,-0.00049806,0.00046758,2.133e-05
0.0064966,1.5708,-3.1416,3.1416,-0.001004,0.00094258,4.2998e-05
0.013044,1.5708,-3.1416,3.1416,-0.0020159,0.0018926,8.633e-05
0.02614,1.5707,-3.1415,3.1416,-0.0040397,0.0037926,0.00017296
0.052331,1.5706,-3.1414,3.1416,-0.0080868,0.0075931,0.00034595
0.10471,1.5699,-3.1408,3.1416,-0.016177,0.015196,0.00068975
0.20948,1.5674,-3.1384,3.1417,-0.032327,0.030424,0.0013596
0.31424,1.5632,-3.1344,3.1419,-0.048405,0.045701,0.0019869
0.41901,1.5573,-3.1288,3.1422,-0.064371,0.061055,0.0025457
0.52377,1.5497,-3.1216,3.1424,-0.080179,0.076517,0.0030044
0.62854,1.5405,-3.1128,3.1428,-0.095778,0.092124,0.0033245
0.83807,1.5172,-3.0902,3.1435,-0.12611,0.12394,0.0033549
1.0476,1.4877,-3.0608,3.1441,-0.15485,0.15691,0.0021668
1.2571,1.4525,-3.0243,3.1443,-0.18138,0.19149,-0.00081534
1.4457,1.4162,-2.9851,3.1437,-0.20294,0.22435,-0.0055303
1.6154,1.3803,-2.9444,3.1423,-0.22022,0.25558,-0.011739
1.7851,1.3416,-2.8983,3.1396,-0.23545,0.28852,-0.019984
2.1246,1.2572,-2.7885,3.1292,-0.26062,0.35965,-0.042569
2.4023,1.1823,-2.6799,3.1142,-0.27806,0.423,-0.066347
2.6801,1.1027,-2.553,3.092,-0.29553,0.49127,-0.093892
2.9579,1.0179,-2.4064,3.0617,-0.31582,0.56606,-0.12484
3.2357,0.92675,-2.2376,3.0223,-0.34173,0.65107,-0.16
3.5134,0.82724,-2.0431,2.9722,-0.37677,0.75342,-0.20206
3.7912,0.71611,-1.8163,2.9089,-0.42683,0.8867,-0.25736
4.069,0.58772,-1.5453,2.8268,-0.50436,1.0797,-0.34195
4.2079,0.51389,-1.3862,2.775,-0.56193,1.2178,-0.40778
4.3467,0.43064,-1.2048,2.7121,-0.64193,1.4054,-0.50638
4.4856,0.33389,-0.99219,2.6316,-0.75981,1.6745,-0.67053
4.6245,0.21659,-0.73346,2.5197,-0.94133,2.073,-0.98034
4.694,0.14708,-0.58076,2.4431,-1.0614,2.3237,-1.2387
4.7634,0.068904,-0.41055,2.3452,-1.1868,2.5679,-1.5925
4.7981,0.026739,-0.31969,2.2863,-1.2406,2.6624,-1.8003
4.8155,0.0050026,-0.27315,2.2542,-1.263,2.6979,-1.9087
4.8155,0.0049194,-0.27298,2.254,-1.2631,2.698,-1.9091
4.8157,0.004753,-0.27262,2.2538,-1.2632,2.6983,-1.9099
4.8159,0.0044201,-0.27191,2.2533,-1.2635,2.6988,-1.9116
4.8165,0.003754,-0.27049,2.2523,-1.2642,2.6997,-1.9149
4.8175,0.0024208,-0.26764,2.2502,-1.2654,2.7015,-1.9215
4.8186,0.0010863,-0.26479,2.2482,-1.2666,2.7034,-1.9282
4.8186,0.0010338,-0.26468,2.2481,-1.2666,2.7034,-1.9284
4.8187,0.00092883,-0.26446,2.248,-1.2667,2.7036,-1.9289
4.8187,0.00088157,-0.26436,2.2479,-1.2668,2.7036,-1.9292
4.8188,0.00083431,-0.26425,2.2478,-1.2668,2.7037,-1.9294
4.8189,0.00073979,-0.26405,2.2477,-1.2669,2.7038,-1.9299
4.8189,0.00064527,-0.26385,2.2475,-1.2668,2.7035,-1.9302
4.819,0.00055076,-0.26365,2.2474,-1.2663,2.7023,-1.9302
4.8191,0.00045632,-0.26345,2.2473,-1.2651,2.6997,-1.9298
4.8192,0.00036199,-0.26325,2.2471,-1.2636,2.6961,-1.929
4.8193,0.00017354,-0.26284,2.2468,-1.261,2.6903,-1.9279
4.8194,4.4156e-06,-0.26248,2.2466,-1.2582,2.6837,-1.9265
4.8196,-0.00016435,-0.26212,2.2463,-1.2554,2.6773,-1.9251
4.8197,-0.00033276,-0.26176,2.246,-1.2525,2.6709,-1.9237
4.8198,-0.00050078,-0.26141,2.2458,-1.2497,2.6644,-1.9223
4.8201,-0.00083567,-0.26069,2.2453,-1.2439,2.6511,-1.9194
4.8206,-0.0015007,-0.25928,2.2442,-1.2319,2.6237,-1.9132
4.8217,-0.0028106,-0.25649,2.2422,-1.2063,2.5656,-1.8993
4.8239,-0.0053428,-0.25111,2.2381,-1.1493,2.4365,-1.866
4.8282,-0.010002,-0.24127,2.2303,-1.0146,2.133,-1.7789
4.8325,-0.014031,-0.23285,2.2229,-0.85758,1.781,-1.6677
